queue,n_threads,throughput_mops_mean,throughput_mops_std,throughput_mops_min,throughput_mops_max,e2e_p50_mean,e2e_p50_std,e2e_p50_min,e2e_p50_max,e2e_mean_mean,e2e_mean_std,e2e_mean_min,e2e_mean_max,e2e_p99_mean,e2e_p99_std,e2e_p99_min,e2e_p99_max,e2e_p999_mean,e2e_p999_std,e2e_p999_min,e2e_p999_max,enq_p50_mean,enq_p50_std,enq_p50_min,enq_p50_max,deq_p50_mean,deq_p50_std,deq_p50_min,deq_p50_max,n_trials
MSQueue,2,3.847850212697864,0.05065734854876892,3.813325786126048,3.9372097076826855,1082.2,16.724233913695443,1059.0,1097.0,1016.298392,17.715975549587206,989.68288,1038.93739,2019.205999999997,62.093896882061024,1920.0099999999948,2083.0099999999948,2305.8004000000014,64.53832350084699,2214.001000000004,2388.001000000004,558.4,7.956129712366423,546.0,565.0,332.0,8.215838362577495,323.0,344.0,5
MSQueue,4,3.3743179007105177,0.10161117597075889,3.2576191385124385,3.5183844751285034,2155.6,77.65822557849239,2071.0,2233.0,2351.157496,68.96936170752517,2253.35311,2429.94158,5525.017999999991,184.48705949199066,5299.0199999999895,5774.0,7726.408600000033,363.8832449575011,7215.006000000023,8129.01300000005,1087.8,28.621670111997297,1061.0,1120.0,640.6,26.15912842584784,611.0,668.0,5
MSQueue,8,2.4609894106505736,0.09609953144008805,2.388245354893882,2.568707919848286,5694.0,253.07607551880523,5394.0,5890.0,6573.775226,291.3388770271747,6224.51985,6805.48233,19043.05599999997,288.75338349532336,18671.009999999995,19277.069999999963,27403.44680000018,416.84279046087175,26781.041000000158,27792.085000000327,3013.4,150.8452849776883,2802.0,3139.0,1494.4,109.28083088995983,1354.0,1587.0,5
MSQueue,16,1.5154624025867087,0.0492882890592426,1.452751526524065,1.5671678338802095,16876.1,737.3045842797939,16301.0,17964.0,21135.673518,875.614590252375,20371.16697,22124.41977,74499.67999999985,3063.6726288965647,71411.1999999999,79483.30999999984,113291.8528000002,3923.2881275591535,107932.00800000003,118293.12000000046,10371.3,781.1424005903148,9692.5,11670.0,3797.9,507.00559661605314,3448.0,4692.5,5
MSQueue,32,0.9654675498042993,0.011472585061944832,0.9570558569201494,0.9852874011505284,51139.2,1736.8519870731645,48445.0,52807.0,66336.901914,1152.9864508291355,64792.45609,67631.19568,252662.30599999972,6816.548012735675,246300.5499999997,264248.3999999998,406218.1470000021,17889.799979959284,386457.9730000037,434885.1110000043,33222.8,574.1013194550243,32591.5,33850.5,11019.9,1526.2398812113381,8398.5,12229.5,5
MSQueue,48,0.6235807905001718,0.009558050537041085,0.610012788028499,0.6315581724285385,107434.3,3421.5195929586607,102240.5,111790.5,146181.95565,3167.8859411705553,140926.95669,149324.46444,618952.019999999,17129.95874452775,596137.03,644459.1599999978,986138.515000008,40997.435181727844,929616.0360000001,1045159.5790000291,76176.5,2175.59394189265,73951.5,78777.5,19392.8,2016.8020354015905,16714.5,21462.5,5
MSQueue,64,0.5198598272735901,0.019798311273721166,0.4975575624862329,0.5430747364178281,171901.9,8699.160141933244,161393.0,183446.5,235628.45276199997,9834.973185429388,225097.16089,247572.19645,1018900.6459999984,23231.529816259263,983188.8699999974,1046334.939999998,1694006.7044000183,62492.53662802447,1592935.2040000008,1760369.9390000228,118090.2,9312.87047987891,106984.0,128789.5,32896.6,2703.6529548002277,30725.0,37291.0,5
MSQueue,96,0.9543759714375213,0.015244892931951989,0.9324405538794018,0.9730313219796118,119823.8,4977.863756170915,114809.0,125560.5,195028.539412,3958.557375664507,191606.86354,200907.48076,850632.0899999993,16868.81652173439,828689.3199999998,866170.7699999996,1420138.0114000177,35860.34239376616,1383339.4720000133,1466484.276000024,63947.5,2777.584022131463,60948.0,68260.5,15752.7,2152.323151852435,13129.5,17855.0,5
MSQueue,144,0.7356001981169881,0.008419807890587702,0.7269267203028867,0.7461652837961253,228471.6,5436.03746307915,220028.0,233889.0,320611.5872393054,3379.6790241041363,317668.93240641925,325132.8882117673,1415993.5199999982,24846.959877055586,1390340.3999999962,1446545.999999999,2282550.4320000326,25631.104026115503,2240611.120000036,2310462.260000026,144648.8,1627.7758445191373,142751.0,146307.0,32445.8,1954.8664148734051,30095.0,34842.0,5
MSQueue,192,0.7798101553052569,0.012297209018123513,0.7648640573648043,0.7950285868677426,357444.4,10128.028049674831,347524.0,368842.0,463612.91305599996,9615.821872346582,451406.26526,474678.41716,1792696.1159999971,23049.016054714306,1761314.0299999968,1811382.9299999995,2921764.893600036,34473.46716311447,2876159.984000004,2970388.7190000718,197157.8,3652.2389468653328,192016.0,201663.5,55104.4,2825.9947452180454,51228.0,57805.0,5
